timestamp,open,sentiment polarity
18-11-2019,53.84,0.699728029
15-11-2019,53.78,0.013928109
14-11-2019,53.22,0.689502566
13-11-2019,53.81,0.56499242
12-11-2019,53.75,0.811751782
11-11-2019,53.79,0.071653571
08-11-2019,53.83,0.819763251
07-11-2019,53.78,0.605005951
06-11-2019,53.29,0.33026599
05-11-2019,52.74,0.995390353
04-11-2019,52.58,0.393732951
01-11-2019,52.13,0.512035763
31-10-2019,51.77,0.609195213
30-10-2019,51.88,0.98469883
29-10-2019,51.5,0.600478114
28-10-2019,51.94,0.901495733
25-10-2019,51.08,0.185137323
24-10-2019,50.66,0.421967103
23-10-2019,50.72,0.465327295
22-10-2019,50.44,0.277571959
21-10-2019,50.28,0.279367815
18-10-2019,49.34,0.68296437
17-10-2019,49.98,0.073503897
16-10-2019,50.04,0.976664149
15-10-2019,49.28,0.253676762
14-10-2019,49.09,0.989618587
11-10-2019,49.46,0.801230622
10-10-2019,48.33,0.112996613
09-10-2019,48.17,0.11480442
08-10-2019,48.25,0.595296544
07-10-2019,48.95,0.846822321
04-10-2019,48.66,0.940480318
03-10-2019,48.3,0.950329005
02-10-2019,48.72,0.555337378
01-10-2019,50.65,0.316677059
30-09-2019,50.77,0.86772141
27-09-2019,50.4,0.526838051
26-09-2019,49.25,0.87792562
25-09-2019,48.73,0.744480464
24-09-2019,48.98,0.547230915
23-09-2019,48.32,0.676572846
20-09-2019,49.07,0.175917763
19-09-2019,48.99,0.781010003
18-09-2019,48.63,0.713148327
17-09-2019,48.7,0.303044321
16-09-2019,48.46,0.408062371
13-09-2019,49.01,0.492482842
12-09-2019,48.52,0.199002085
11-09-2019,48.29,0.759087025
10-09-2019,48.07,0.745636271
09-09-2019,47.32,0.531387241
06-09-2019,47.58,0.343748221
05-09-2019,47.31,0.241024057
04-09-2019,46.54,0.301805418
03-09-2019,46.31,0.345610486
30-08-2019,46.54,0.40729871
29-08-2019,46,0.217760256
28-08-2019,44.64,0.997383569
27-08-2019,45.23,0.399993405
26-08-2019,44.71,0.103098575
23-08-2019,45.2,0.724983923
22-08-2019,45.33,0.361680221
21-08-2019,44.96,0.9476165
20-08-2019,45.04,0.421902139
19-08-2019,45.13,0.679878082
16-08-2019,43.74,0.626259317
15-08-2019,44.3,0.243299612
14-08-2019,45.0223,0.122758788
13-08-2019,45.61,0.856565823
12-08-2019,45.5101,0.384850618
09-08-2019,46.02,0.743376857
08-08-2019,45.69,0.087644207
07-08-2019,46.07,0.993956778
06-08-2019,46.61,0.603268891
05-08-2019,46.5,0.927192379
02-08-2019,47.11,0.344909597
01-08-2019,48.41,0.692777396
31-07-2019,48.26,0.929522355
30-07-2019,48.01,0.673011466
29-07-2019,49.38,0.516712123
26-07-2019,48.15,0.391576864
25-07-2019,48.52,0.902614911
24-07-2019,47.3,0.965813874
23-07-2019,46.68,0.225329418
22-07-2019,45.89,0.286829693
19-07-2019,45.96,0.15251814
18-07-2019,45.2201,0.310025846
17-07-2019,45.2,0.846350769
16-07-2019,46.72,0.297477849
15-07-2019,47.4,0.908706045
12-07-2019,47.12,0.779514875
11-07-2019,47.21,0.321284666
10-07-2019,47.67,0.875869067
09-07-2019,47.3,0.949070367
08-07-2019,47.4,0.992380898
05-07-2019,48.1,0.446432369
03-07-2019,47.3,0.047671369
02-07-2019,47.52,0.686933169
01-07-2019,47.88,0.546386991
28-06-2019,46.8113,0.440265449
27-06-2019,46.22,0.867791559
26-06-2019,46.21,0.065876362
25-06-2019,46.13,0.726719386
24-06-2019,46.55,0.486369347
21-06-2019,45.84,0.31857921
20-06-2019,45.85,0.886622942
19-06-2019,46.48,0.108434679
18-06-2019,45.2457,0.115837672
17-06-2019,45.58,0.081330471
14-06-2019,45.31,0.923708716
13-06-2019,45.1,0.886868032
12-06-2019,46.01,0.712906307
11-06-2019,45.84,0.318080479
10-06-2019,46.06,0.84017395
07-06-2019,45.9,0.335660344
06-06-2019,45.74,0.436618766
05-06-2019,45.87,0.840254963
04-06-2019,45.16,0.136537203
03-06-2019,44.24,0.889780655
31-05-2019,44.53,0.579632514
30-05-2019,45.6904,0.02827344
29-05-2019,45.39,0.706712534
28-05-2019,46.07,0.972788679
24-05-2019,45.76,0.022823897
23-05-2019,45.83,0.060718542
22-05-2019,46.07,0.096672034
21-05-2019,45.62,0.005057187
20-05-2019,45.62,0.816781865
17-05-2019,45.4387,0.149871823
16-05-2019,45.99,0.115797185
15-05-2019,46.02,0.353447915
14-05-2019,46.38,0.475897155
13-05-2019,46.28,0.411186985
10-05-2019,46.41,0.316662162
09-05-2019,46,0.106803912
08-05-2019,47.06,0.060016461
07-05-2019,48.05,0.536264483
06-05-2019,47.99,0.693617617
03-05-2019,48.52,0.475225099
02-05-2019,48.35,0.848067079
01-05-2019,48.32,0.587648518
30-04-2019,48.3516,0.942813035
29-04-2019,47.97,0.041147179
26-04-2019,47.52,0.281718075
25-04-2019,47.17,0.483435581
24-04-2019,47.06,0.453161135
23-04-2019,47.2,0.073952122
22-04-2019,47.41,0.914412127
18-04-2019,47.44,0.568139276
17-04-2019,47.96,0.20177589
16-04-2019,46.88,0.524382651
15-04-2019,45.87,0.504941417
12-04-2019,47.75,0.330552971
11-04-2019,47.97,0.124481966
10-04-2019,48.08,0.640033747
09-04-2019,48.68,0.334513945
08-04-2019,48.64,0.617165963
05-04-2019,49.26,0.492642566
04-04-2019,48.95,0.168865626
03-04-2019,48.47,0.639344174
02-04-2019,48.57,0.0305119
01-04-2019,48.43,0.830688654
29-03-2019,49.8,0.236956575
28-03-2019,48.73,0.8485957
27-03-2019,48.94,0.025924732
26-03-2019,48.52,0.915441556
25-03-2019,48.42,0.277435886
22-03-2019,49.25,0.903421799
21-03-2019,49.98,0.885450185
20-03-2019,51.19,0.271537447
19-03-2019,52.4206,0.242526926
18-03-2019,50.84,0.85402441
15-03-2019,50.22,0.580238277
14-03-2019,50.07,0.506821826
13-03-2019,49.87,0.704145401
12-03-2019,49.78,0.454223962
11-03-2019,50,0.992686186
08-03-2019,49.26,0.809856004
07-03-2019,49.71,0.680847212
06-03-2019,49.97,0.655265121
05-03-2019,50.03,0.985254647
04-03-2019,50.29,0.539378141
01-03-2019,50.23,0.320535327
28-02-2019,49.98,0.691497174
27-02-2019,49.59,0.425299926
26-02-2019,49.49,0.394143975
25-02-2019,49.26,0.683060012
22-02-2019,49.6,0.999184918
21-02-2019,49.76,0.539614748
20-02-2019,49.43,0.488842136
19-02-2019,49.03,0.009993064
15-02-2019,49.09,0.142087127
14-02-2019,48.63,0.621897026
13-02-2019,49.24,0.951698752
12-02-2019,48.01,0.72867946
11-02-2019,47.87,0.989865289
